Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,cluster
Hilltop Ski Area,Alaska,2090,294,0,0.0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,30.0,34.0,152.0,30.0,1
Arizona Snowbowl,Arizona,11500,2300,0,0.0,1,0,2,2,1,2,8,55.0,4.0,2.0,777.0,104.0,122.0,81.0,260.0,89.0,89.0,122.0,0.0,2
Sunrise Park Resort,Arizona,11100,1800,0,0.0,0,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,74.0,78.0,104.0,80.0,2
Yosemite Ski & Snowboard Area,California,7800,600,0,0.0,0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,174.87323943661968,110.0,84.0,300.0,47.0,47.0,107.0,0.0,2
Bear Valley,California,8500,1900,0,0.0,1,1,0,2,4,2,10,67.0,2.0,1.2,1680.0,100.0,165.0,52.0,359.0,57.91695652173913,64.16681003584229,151.0,0.0,2
Boreal Mountain Resort,California,7700,500,0,0.0,0,1,1,3,1,2,8,33.0,6.0,1.0,380.0,200.0,150.0,54.0,400.0,49.0,64.16681003584229,150.0,200.0,2
Dodge Ridge,California,8200,1600,0,0.0,0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,174.87323943661968,151.57894736842104,69.0,350.0,78.0,78.0,140.0,0.0,2
Donner Ski Ranch,California,8012,750,0,0.0,0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,75.0,170.0,0.0,2
June Mountain,California,10090,2590,0,0.0,0,2,0,0,4,1,7,41.0,2.0,2.0,1500.0,174.87323943661968,151.57894736842104,58.0,250.0,57.91695652173913,64.16681003584229,128.0,0.0,2
Mt. Shasta Ski Park,California,6890,1435,0,0.0,0,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,49.0,59.0,130.0,0.0,2
Mountain High,California,8200,1600,0,0.0,0,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,84.0,150.0,73.0,2
Sierra-at-Tahoe,California,8852,2212,0,0.0,0,3,0,1,5,5,14,46.0,6.0,2.5,2000.0,200.0,160.0,73.0,460.0,99.0,64.16681003584229,144.0,0.0,2
Ski China Peak,California,8709,1679,0,0.0,0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,140.0,62.0,300.0,83.0,83.0,144.0,0.0,2
Snow Summit,California,8200,1200,0,0.0,0,2,0,4,5,5,16,27.0,6.0,1.2,240.0,240.0,151.57894736842104,67.0,100.0,57.91695652173913,64.16681003584229,130.0,150.0,2
Snow Valley,California,7841,1041,0,0.0,0,0,0,5,6,1,12,28.0,6.0,1.2,240.0,188.0,111.0,82.0,160.0,69.0,79.0,143.0,164.0,2
Soda Springs,California,7352,652,0,0.0,0,0,0,1,1,2,4,18.0,2.8207885304659497,0.4,200.0,20.0,150.0,83.0,400.0,50.0,50.0,144.0,0.0,2
Sugar Bowl Resort,California,8383,1500,1,0.0,0,5,3,1,0,2,12,105.0,3.0,3.0,1650.0,375.0,151.0,80.0,500.0,125.0,125.0,150.0,0.0,2
Tahoe Donner,California,7350,600,0,0.0,0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,174.87323943661968,150.0,48.0,400.0,69.0,69.0,144.0,0.0,2
Purgatory,Colorado,10822,2029,0,0.0,1,2,0,3,3,3,12,101.0,9.0,1.3,1605.0,250.0,130.0,54.0,260.0,89.0,89.0,130.0,0.0,2
Monarch Mountain,Colorado,11952,1162,0,0.0,0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,174.87323943661968,143.0,80.0,350.0,89.0,89.0,136.0,0.0,2
Powderhorn,Colorado,9850,1650,0,0.0,0,1,0,0,2,2,5,42.0,2.0,1.5,1600.0,42.0,111.0,53.0,250.0,71.0,71.0,110.0,0.0,2
Cooper,Colorado,11700,1200,0,0.0,0,0,0,1,1,2,4,41.0,1.0,1.0,400.0,174.87323943661968,130.0,74.0,260.0,56.0,56.0,130.0,0.0,2
Ski Granby Ranch,Colorado,9202,1000,0,0.0,0,2,0,1,1,1,5,40.0,1.0,0.6,406.0,170.0,116.0,36.0,220.0,84.0,84.0,92.0,100.0,2
Sunlight Mountain Resort,Colorado,9895,2010,0,0.0,0,0,0,1,2,0,3,67.0,1.0,2.5,680.0,30.0,100.0,53.0,250.0,65.0,65.0,135.0,0.0,2
Wolf Creek Ski Area,Colorado,11904,1604,0,0.0,0,3,1,2,1,3,10,120.0,2.8207885304659497,2.0,1600.0,5.0,130.0,80.0,430.0,72.0,72.0,150.0,0.0,2
Mohawk Mountain,Connecticut,1600,650,0,0.0,0,0,0,5,0,3,8,25.0,2.8207885304659497,1.5,107.0,100.0,88.25,72.0,92.0,30.0,65.0,110.0,64.0,1
Mount Southington Ski Area,Connecticut,525,425,0,0.0,0,0,0,2,2,3,7,14.0,2.0,0.3,51.0,51.0,63.0,55.0,80.0,60.0,60.0,95.0,51.0,1
Powder Ridge Park,Connecticut,720,550,0,0.0,0,0,0,1,2,2,5,19.0,4.0,0.5,80.0,68.0,80.0,60.0,80.0,45.0,55.0,100.0,40.0,1
Ski Sundown,Connecticut,1075,625,0,0.0,0,0,0,3,0,2,5,16.0,2.0,1.0,70.0,70.0,84.0,50.0,45.0,62.0,62.0,95.0,66.0,1
Woodbury Ski Area,Connecticut,730,300,0,0.0,0,0,0,0,1,4,5,12.0,2.0,0.2,50.0,50.0,126.0,57.0,70.0,42.0,42.0,180.0,35.0,1
Bogus Basin,Idaho,7582,1800,0,0.0,0,3,0,1,3,4,11,91.0,3.0,1.5,2600.0,174.87323943661968,134.0,77.0,250.0,64.0,64.0,130.0,165.0,2
Brundage Mountain Resort,Idaho,7640,1800,0,0.0,0,1,0,4,0,1,6,51.0,2.0,3.2,1920.0,2.0,126.0,58.0,320.0,70.0,70.0,131.125,0.0,2
Kelly Canyon Ski Area,Idaho,6600,1000,0,0.0,0,0,0,0,4,2,6,51.0,1.0,1.3,740.0,174.87323943661968,113.6,62.0,200.0,57.91695652173913,42.0,131.125,0.0,2
Lookout Pass Ski Area,Idaho,5650,1150,0,0.0,0,0,0,1,3,0,4,35.0,2.0,1.5,540.0,174.87323943661968,113.0,84.0,400.0,44.0,47.0,140.0,0.0,0
Magic Mountain Ski Area,Idaho,7200,700,0,0.0,0,0,0,0,1,2,3,11.0,2.8207885304659497,1.5,280.0,174.87323943661968,65.0,81.0,180.0,32.0,32.0,70.0,0.0,2
Pebble Creek Ski Area,Idaho,8560,2200,0,0.0,0,0,0,3,0,0,3,54.0,2.0,1.3,1100.0,30.0,85.0,70.0,250.0,47.0,47.0,91.0,30.0,2
Pomerelle Mountain Resort,Idaho,9000,1000,0,0.0,0,0,0,1,1,1,3,24.0,2.0,1.5,500.0,50.0,138.0,56.0,500.0,57.91695652173913,64.16681003584229,138.0,100.0,2
Schweitzer,Idaho,6400,2400,0,0.0,1,2,0,1,3,2,9,92.0,3.0,2.1,2900.0,47.0,136.0,56.0,300.0,81.0,81.0,131.125,100.0,2
Soldier Mountain Ski Area,Idaho,7200,1400,0,0.0,0,0,0,0,2,1,3,36.0,2.8207885304659497,0.4,1142.0,174.87323943661968,60.0,71.0,292.72727272727275,43.0,43.0,131.125,0.0,2
Tamarack Resort,Idaho,7700,2800,0,0.0,0,2,2,0,0,2,6,48.0,3.0,1.5,1020.0,200.0,113.6,15.0,300.0,71.0,71.0,150.0,0.0,2
Chestnut Mountain Resort,Illinois,1040,475,0,0.0,0,0,2,4,0,3,9,22.0,3.0,0.2,139.0,139.0,87.0,60.0,50.0,40.0,55.0,112.0,139.0,1
Four Lakes,Illinois,500,100,0,0.0,0,0,0,0,0,7,7,7.0,1.0,0.1,9.0,9.0,78.0,58.0,24.0,57.91695652173913,64.16681003584229,70.0,9.0,1
Ski Snowstar Winter Sports Park,Illinois,790,262,0,0.0,0,0,2,0,2,2,6,15.0,1.0,0.8,28.0,28.0,56.0,38.0,38.0,25.0,35.0,86.0,28.0,1
Villa Olivia,Illinois,500,180,0,0.0,0,0,1,0,0,6,7,7.0,1.0,0.1,15.0,15.0,73.66666666666667,53.0,25.0,40.0,40.0,70.0,15.0,1
Paoli Peaks,Indiana,900,300,0,0.0,0,1,1,3,1,2,8,15.0,2.0,0.4,65.0,65.0,75.0,41.0,18.0,38.0,45.0,80.0,65.0,1
Perfect North Slopes,Indiana,800,400,0,0.0,0,0,2,3,0,6,11,23.0,2.0,1.0,100.0,100.0,82.0,39.0,24.0,52.0,52.0,90.0,100.0,1
Mt. Crescent Ski Area,Iowa,1500,300,0,0.0,0,0,1,0,1,0,2,11.0,1.0,0.2,50.0,50.0,100.0,58.0,30.0,29.0,39.0,100.0,50.0,1
Seven Oaks,Iowa,975,275,0,0.0,0,0,0,2,0,2,4,11.0,2.0,1.0,35.0,35.0,100.0,22.0,40.0,40.0,40.0,100.0,35.0,1
Sundown Mountain,Iowa,1059,475,0,0.0,0,0,1,1,2,2,6,21.0,2.0,0.6,55.0,55.0,100.0,46.0,45.0,38.0,46.0,100.0,55.0,1
Big Squaw Mountain Ski Resort,Maine,3200,660,0,0.0,0,0,0,1,0,0,1,29.0,2.8207885304659497,0.8,739.8012232415903,174.87323943661968,67.0,6.0,115.85714285714286,30.0,30.0,58.0,0.0,0
Camden Snow Bowl,Maine,1080,850,0,0.0,0,0,0,1,1,1,3,26.0,2.0,1.0,100.0,48.0,68.0,83.0,69.0,33.0,43.0,70.0,48.0,1
Lost Valley,Maine,495,240,0,0.0,0,0,0,0,2,2,4,22.0,2.0,0.3,45.0,45.0,87.0,58.0,50.0,29.0,55.0,104.0,45.0,1
Mt. Abram Ski Resort,Maine,2250,1150,0,0.0,0,0,0,0,2,3,5,54.0,1.0,0.5,640.0,175.0,120.0,59.0,125.0,29.0,49.0,120.0,0.0,1
Mt. Jefferson,Maine,753,432,0,0.0,0,0,0,0,0,3,3,10.0,2.8207885304659497,0.3,12.0,174.87323943661968,108.125,19.0,115.85714285714286,57.91695652173913,64.16681003584229,112.0,0.0,1
New Hermon Mountain,Maine,450,350,0,0.0,0,0,0,0,1,2,3,20.0,2.8207885304659497,1.9,70.0,70.0,102.0,55.0,90.0,32.0,32.0,117.0,45.0,1
Shawnee Peak,Maine,1900,1350,0,0.0,0,0,1,2,1,2,6,43.0,3.0,0.8,239.0,234.0,97.0,81.0,110.0,55.0,75.0,103.0,110.0,1
Wisp,Maryland,3115,700,0,0.0,0,0,2,5,0,5,12,34.0,3.0,1.5,172.0,118.0,121.0,64.0,100.0,59.0,79.0,120.0,118.0,0
Berkshire East,Massachusetts,1720,1180,0,0.0,0,0,2,1,1,2,6,47.0,2.0,2.0,180.0,165.0,120.0,68.0,120.0,48.0,68.0,120.0,80.0,1
Blandford Ski Area,Massachusetts,1685,465,0,0.0,0,0,0,0,3,2,5,29.0,2.0,0.5,132.0,70.0,111.83333333333331,83.0,50.0,20.0,45.0,117.42857142857143,70.0,1
Blue Hills Ski Area,Massachusetts,635,309,0,0.0,0,0,0,0,1,3,4,16.0,1.0,1.4332307692307693,60.0,60.0,111.83333333333331,19.0,84.77777777777777,40.0,45.0,117.42857142857143,0.0,1
Bousquet Ski Area,Massachusetts,1875,750,0,0.0,0,0,0,0,3,2,5,23.0,1.0,1.0,200.0,98.0,111.83333333333331,19.0,83.0,25.0,49.0,117.42857142857143,100.0,1
Bradford Ski Area,Massachusetts,1548,248,0,0.0,0,0,0,2,0,8,10,15.0,1.0,0.3,48.0,48.0,111.83333333333331,71.0,84.77777777777777,37.0,55.0,117.42857142857143,0.0,1
Jiminy Peak,Massachusetts,2380,1150,0,0.0,1,0,2,3,1,2,9,45.0,3.0,2.0,167.0,163.0,121.0,71.0,90.0,81.0,81.0,120.0,104.0,1
Nashoba Valley,Massachusetts,440,240,0,0.0,0,0,0,3,1,7,11,17.0,2.0,0.5,52.0,52.0,112.0,55.0,55.0,48.0,58.0,126.0,52.0,1
Otis Ridge Ski Area,Massachusetts,1700,400,0,0.0,0,0,0,0,1,3,4,11.0,1.0,1.0,60.0,55.0,106.0,73.0,70.0,20.0,40.0,106.0,35.0,1
Ski Butternut,Massachusetts,1800,1000,0,0.0,0,0,3,1,1,6,11,22.0,2.0,1.5,110.0,110.0,107.0,56.0,115.0,25.0,60.0,110.0,0.0,1
Ski Ward,Massachusetts,420,210,0,0.0,0,0,0,1,0,3,4,11.0,1.0,0.2,45.0,45.0,105.0,50.0,80.0,57.91695652173913,64.16681003584229,120.0,38.0,1
Wachusett Mountain Ski Area,Massachusetts,2006,1000,0,0.0,0,3,0,1,0,4,8,27.0,2.0,1.5,112.0,112.0,111.83333333333331,57.0,100.0,65.0,71.0,120.0,104.0,1
Alpine Valley Ski Area,Michigan,500,240,0,0.0,0,0,1,2,5,6,14,25.0,3.0,0.2,100.0,100.0,103.8695652173913,57.0,20.0,39.0,47.0,111.36363636363636,100.0,1
Apple Mountain,Michigan,820,220,0,0.0,0,0,1,0,0,5,6,12.0,2.8207885304659497,1.4332307692307693,80.0,42.0,103.8695652173913,58.0,52.0,35.0,35.0,111.36363636363636,80.0,1
Big Powderhorn Mountain,Michigan,1800,600,0,0.0,0,0,0,0,9,1,10,45.0,2.0,1.0,253.0,228.0,100.0,55.0,214.0,69.0,69.0,108.0,0.0,1
Bittersweet Ski Area,Michigan,850,350,0,0.0,0,0,1,7,0,4,12,20.0,2.0,0.2,100.0,100.0,80.0,36.0,90.0,38.0,48.0,111.36363636363636,100.0,1
Big Snow Resort - Blackjack,Michigan,850,465,0,0.0,0,0,0,0,4,2,6,26.0,2.0,1.0,170.0,86.0,95.0,42.0,210.0,49.0,65.0,115.0,0.0,1
Boyne Highlands,Michigan,1290,552,0,0.0,0,1,3,4,0,2,10,55.0,4.0,1.2,435.0,400.0,97.0,56.0,140.0,78.0,98.0,120.0,150.0,1
Boyne Mountain Resort,Michigan,1120,500,0,0.0,1,0,4,3,2,2,12,60.0,7.0,1.0,415.0,380.0,122.0,71.0,140.0,57.91695652173913,64.16681003584229,130.0,200.0,1
Caberfae Peaks,Michigan,1569,485,0,0.0,0,0,1,2,1,1,5,34.0,2.0,1.2,200.0,200.0,118.0,82.0,140.0,39.0,49.0,130.0,150.0,1
Cannonsburg,Michigan,1100,250,0,0.0,0,0,1,1,1,7,10,21.0,5.0,0.1,100.0,174.87323943661968,100.0,54.0,100.0,30.0,37.0,100.0,0.0,1
Crystal Mountain,Michigan,1132,375,0,0.0,0,1,3,2,0,2,8,58.0,3.0,0.3,102.0,96.0,120.0,63.0,132.0,54.0,64.0,135.0,56.0,1
Big Snow Resort - Indianhead Mountain,Michigan,1935,638,0,0.0,0,0,1,1,5,2,9,32.0,2.0,1.0,240.0,150.0,120.0,60.0,204.0,49.0,49.0,120.0,0.0,1
Marquette Mountain,Michigan,1357,600,0,0.0,0,0,0,1,2,1,4,35.0,3.0,0.7,169.0,143.0,139.0,60.0,210.0,57.91695652173913,64.16681003584229,135.0,89.0,1
Mont Ripley,Michigan,1140,440,0,0.0,0,0,0,0,2,2,4,25.0,2.0,0.8,112.0,112.0,114.0,83.0,275.0,49.0,49.0,100.0,100.0,1
Mount Bohemia,Michigan,1500,900,0,0.0,0,0,0,1,1,0,2,48.214723926380366,2.8207885304659497,2.3,585.0,174.87323943661968,83.0,19.0,273.0,68.0,68.0,100.0,0.0,1
Mt. Brighton,Michigan,1330,230,0,0.0,0,0,2,3,0,8,13,25.0,5.0,0.1,130.0,130.0,111.0,59.0,60.0,52.0,59.0,100.0,130.0,1
Mt. Holiday Ski Area,Michigan,440,200,0,0.0,0,0,0,0,2,2,4,12.0,2.8207885304659497,0.1,45.0,45.0,100.0,70.0,120.0,22.0,34.0,90.0,45.0,1
Mount Holly,Michigan,1105,350,0,0.0,0,1,2,3,1,6,13,19.0,2.8207885304659497,0.1,100.0,100.0,103.8695652173913,63.0,42.0,37.0,45.0,102.0,100.0,1
Mulligan's Hollow Ski Bowl,Michigan,700,130,0,0.0,0,0,0,0,0,5,5,6.0,2.8207885304659497,0.2,10.0,10.0,103.8695652173913,19.0,60.0,15.0,20.0,111.36363636363636,10.0,1
Norway Mountain,Michigan,1335,500,0,0.0,0,0,0,1,2,3,6,17.0,1.0,1.4,186.0,186.0,110.0,45.0,100.0,57.91695652173913,45.0,110.0,40.0,1
Nubs Nob Ski Area,Michigan,1338,427,0,0.0,0,0,3,4,2,1,10,53.0,3.0,0.9,248.0,248.0,133.0,61.0,135.0,65.0,85.0,130.0,160.0,1
Pine Mountain,Michigan,1650,500,0,0.0,0,0,0,1,2,1,4,28.0,1.0,0.5,160.0,160.0,110.0,80.0,60.0,57.91695652173913,45.0,126.0,80.0,1
Schuss Mountain at Shanty Creek,Michigan,1125,450,0,0.0,0,0,5,0,0,3,8,42.0,3.0,1.0,70.0,70.0,94.0,57.0,160.0,58.0,78.0,111.0,70.0,1
Snow Snake Mountain Ski Area,Michigan,1230,210,0,0.0,0,0,0,1,0,5,6,12.0,2.0,0.0,40.0,40.0,103.8695652173913,72.0,133.53846153846158,30.0,35.0,111.36363636363636,40.0,1
Swiss Valley,Michigan,1200,225,0,0.0,0,0,2,1,0,4,7,11.0,2.0,0.1,60.0,60.0,89.0,51.0,60.0,32.0,42.0,80.0,60.0,1
Timber Ridge,Michigan,850,250,0,0.0,0,0,1,1,2,4,8,16.0,2.0,0.3,50.0,50.0,80.0,58.0,133.53846153846158,35.0,45.0,111.36363636363636,50.0,1
Treetops Resort,Michigan,1345,225,0,0.0,0,0,0,3,0,2,5,23.0,3.0,0.2,80.0,80.0,63.0,65.0,175.0,57.91695652173913,64.16681003584229,101.0,80.0,1
Afton Alps,Minnesota,1530,350,0,0.0,0,0,1,3,14,4,22,48.0,5.0,0.5,250.0,250.0,135.0,56.0,60.0,55.0,60.0,135.0,250.0,1
Andes Tower Hills Ski Area,Minnesota,1620,290,0,0.0,0,0,1,2,0,3,6,15.0,2.0,0.2,35.0,35.0,100.0,38.0,55.0,45.0,45.0,110.0,35.0,1
Buck Hill,Minnesota,1225,309,0,0.0,0,0,2,1,0,5,8,16.0,2.8207885304659497,0.2,45.0,45.0,115.0,65.0,60.0,34.0,47.0,112.0,45.0,1
Buena Vista Ski Area,Minnesota,1510,230,0,0.0,0,0,0,2,2,2,6,17.0,2.8207885304659497,0.3,30.0,30.0,57.0,70.0,78.0,44.0,44.0,60.0,30.0,1
Coffee Mill Ski & Snowboard Resort,Minnesota,1150,425,0,0.0,0,0,0,0,2,1,3,14.0,1.0,1.0,40.0,35.0,57.0,39.0,48.0,23.0,37.0,56.0,35.0,1
Elm Creek Winter Recreation Area,Minnesota,928,60,0,0.0,0,0,0,0,0,3,3,3.0,2.8207885304659497,1.0,15.0,20.0,105.0,13.0,45.0,17.0,17.0,102.0,15.0,1
Giants Ridge Resort,Minnesota,1972,500,0,0.0,0,1,1,1,2,2,7,35.0,2.0,0.8,202.0,202.0,120.0,35.0,85.0,49.0,58.0,125.0,121.0,1
Hyland Ski & Snowboard Area,Minnesota,1075,175,0,0.0,0,0,2,1,0,5,8,14.0,1.0,1.0,35.0,35.0,110.0,61.0,55.0,35.34,35.34,115.0,35.0,1
Lutsen Mountains,Minnesota,1688,825,1,0.0,1,0,0,1,4,1,8,62.0,2.0,2.0,393.0,231.0,135.0,71.0,120.0,84.0,84.0,127.0,0.0,1
Mount Kato Ski Area,Minnesota,540,240,0,0.0,0,0,5,0,3,2,10,19.0,4.0,1.0,55.0,55.0,115.0,43.0,50.0,34.0,46.0,120.0,50.0,1
Powder Ridge Ski Area,Minnesota,790,300,0,0.0,0,0,1,0,2,3,6,15.0,4.0,1.4332307692307693,60.0,60.0,97.0,58.0,45.0,36.0,48.0,113.0,60.0,1
Spirit Mountain,Minnesota,1320,700,0,0.0,0,1,1,2,1,2,7,22.0,3.0,1.0,175.0,175.0,100.0,45.0,100.0,59.0,59.0,125.0,144.0,1
Welch Village,Minnesota,1060,360,0,0.0,0,0,3,1,4,2,10,50.0,1.0,0.8,125.0,125.0,114.0,54.0,45.0,54.0,60.0,122.0,100.0,1
Wild Mountain Ski & Snowboard Area,Minnesota,1113,300,0,0.0,0,0,4,0,0,4,8,26.0,4.0,0.9,100.0,100.0,130.0,47.0,50.0,55.0,55.0,140.0,100.0,1
Hidden Valley Ski Area,Missouri,2566,310,0,0.0,0,0,2,2,0,3,7,17.0,2.8207885304659497,0.1,30.0,30.0,69.0,37.0,26.0,49.0,49.0,85.0,17.0,1
Snow Creek,Missouri,1100,300,0,0.0,0,0,0,2,1,2,5,14.0,2.0,0.3,30.0,30.0,69.0,33.0,20.0,37.0,47.0,85.0,30.0,1
Blacktail Mountain Ski Area,Montana,6676,1440,0,0.0,0,0,0,1,2,1,4,27.0,2.8207885304659497,0.7,1000.0,174.87323943661968,105.66666666666669,21.0,250.0,42.0,42.0,118.55555555555556,0.0,2
Bridger Bowl,Montana,8700,2600,0,0.0,0,0,1,6,1,3,11,105.0,2.0,1.5,2000.0,100.0,122.0,64.0,350.0,63.0,63.0,133.0,0.0,2
Discovery Ski Area,Montana,8150,2380,0,0.0,0,0,0,5,2,1,8,74.0,1.0,1.5,2400.0,25.0,116.0,46.0,225.0,49.0,49.0,116.0,0.0,2
Great Divide,Montana,7330,1580,0,0.0,0,0,0,0,5,1,6,110.0,6.0,3.0,1600.0,150.0,94.0,78.0,180.0,48.0,48.0,100.0,100.0,2
Lost Trail - Powder Mtn,Montana,8200,1800,0,0.0,0,0,0,0,5,3,8,69.0,2.0,2.5,1800.0,174.87323943661968,84.0,81.0,325.0,46.0,46.0,80.0,0.0,2
Maverick Mountain,Montana,8520,2020,0,0.0,0,0,0,0,1,1,2,22.0,2.8207885304659497,1.3,255.0,174.87323943661968,105.66666666666669,83.0,160.0,39.0,39.0,118.55555555555556,0.0,2
Montana Snowbowl,Montana,7600,2600,0,0.0,0,0,0,0,2,2,4,37.0,2.8207885304659497,1.2,950.0,20.0,105.66666666666669,58.0,300.0,50.0,50.0,118.55555555555556,10.0,2
Red Lodge Mountain,Montana,9416,2400,0,0.0,0,2,0,1,3,1,7,70.0,2.0,2.5,1635.0,496.0,142.0,59.0,250.0,67.0,67.0,136.0,0.0,2
Showdown Montana,Montana,8200,1400,0,0.0,0,0,0,1,2,1,4,36.0,1.0,1.8,640.0,174.87323943661968,86.0,83.0,250.0,47.0,47.0,85.0,0.0,2
Whitefish Mountain Resort,Montana,6817,2353,0,0.0,0,3,2,6,0,3,14,105.0,4.0,3.3,3000.0,600.0,123.0,72.0,333.0,81.0,81.0,123.0,600.0,2
Diamond Peak,Nevada,8540,1840,0,0.0,0,1,2,0,3,1,7,30.0,3.0,2.5,655.0,492.0,100.0,53.0,300.0,89.0,99.0,122.0,0.0,2
Lee Canyon,Nevada,11289,860,0,0.0,0,0,2,1,0,0,3,24.0,1.0,0.3,195.0,50.0,144.0,56.0,161.0,70.0,70.0,150.0,0.0,2
Mt. Rose - Ski Tahoe,Nevada,9700,1800,0,0.0,2,0,2,2,0,2,8,65.0,5.0,2.5,1200.0,330.0,152.0,55.0,350.0,135.0,135.0,150.0,0.0,2
Attitash,New Hampshire,2350,1750,0,0.0,0,2,1,3,2,1,9,68.0,3.0,3.0,311.0,240.0,115.0,54.0,120.0,79.0,89.0,130.0,0.0,1
Black Mountain,New Hampshire,2350,1100,0,0.0,0,0,0,1,1,3,5,45.0,2.8207885304659497,1.6,143.0,120.0,110.0,84.0,125.0,45.0,59.0,107.0,0.0,1
Cannon Mountain,New Hampshire,4080,2180,1,0.0,0,1,2,3,1,3,11,97.0,3.0,2.3,285.0,192.0,124.0,81.0,160.0,79.0,79.0,143.0,0.0,0
Cranmore Mountain Resort,New Hampshire,2000,1200,0,0.0,0,1,1,2,1,2,7,57.0,4.0,1.0,200.0,192.0,107.0,82.0,150.0,57.91695652173913,64.16681003584229,128.0,0.0,1
Crotched Mountain,New Hampshire,2066,1016,0,0.0,0,1,1,1,1,1,5,25.0,3.0,1.2,100.0,100.0,105.0,16.0,105.0,55.0,69.0,100.0,100.0,1
Dartmouth Skiway,New Hampshire,1943,969,0,0.0,0,0,1,0,1,2,4,28.0,1.0,1.1,107.0,54.0,104.0,63.0,100.0,50.0,50.0,105.0,0.0,1
Gunstock,New Hampshire,2300,1400,0,0.0,0,1,2,2,0,1,6,55.0,4.0,1.5,227.0,176.0,106.0,82.0,120.0,80.0,92.0,128.6,60.0,1
King Pine,New Hampshire,850,350,0,0.0,0,0,0,3,0,3,6,17.0,2.0,0.3,48.0,45.0,105.0,57.0,120.0,42.0,58.0,107.0,23.0,1
Loon Mountain,New Hampshire,3050,2100,1,0.0,0,3,1,1,3,2,11,61.0,6.0,2.5,370.0,322.0,149.0,53.0,160.0,57.91695652173913,64.16681003584229,144.0,0.0,0
Mount Sunapee,New Hampshire,2743,1510,0,0.0,0,2,1,2,1,4,10,66.0,4.0,0.8,232.0,215.0,130.0,71.0,100.0,83.0,93.0,136.0,0.0,0
Pats Peak,New Hampshire,1460,770,0,0.0,0,0,0,4,2,5,11,28.0,3.0,1.5,115.0,115.0,109.0,56.0,100.0,58.0,72.0,112.0,93.0,1
Ragged Mountain Resort,New Hampshire,2250,1250,0,0.0,1,1,0,1,0,3,6,57.0,3.0,0.7,250.0,200.0,123.13333333333334,54.0,100.0,74.0,84.0,140.0,0.0,1
Waterville Valley,New Hampshire,4004,2020,0,0.0,0,2,0,2,3,4,11,62.0,4.0,1.9,265.0,220.0,142.0,54.0,148.0,79.0,93.0,142.0,0.0,0
Whaleback Mountain,New Hampshire,1800,700,0,0.0,0,0,0,0,1,3,4,30.0,1.0,1.0,85.0,60.0,105.0,64.0,110.0,30.0,45.0,105.0,55.0,1
Wildcat Mountain,New Hampshire,4062,2112,0,0.0,0,1,0,3,0,1,5,48.0,2.8207885304659497,2.8,225.0,200.0,156.0,61.0,200.0,79.0,89.0,150.0,0.0,0
